"","snps","gene","statistic","pvalue","FDR","beta"
"1","chr2_17962913","AT2G43210",-17.5993363012272,9.15431826868898e-56,4.00684510620517e-52,-215.268905737221
"2","chr1_30288052","AT1G80555",14.2098627614842,1.74869238217117e-39,3.8270132783816e-36,67.5236894340332
"3","chr4_8512389","AT4G14840",-13.9759693314412,2.04893160595526e-38,2.98939121308873e-35,-39.434732017459
"4","chr5_2571476","AT5G08010",-13.24539980839,3.92007915519388e-35,4.2895466155709e-32,-42.5145769144268
"5","chr4_16434335","AT4G34370",12.8948903368248,1.36574555729467e-33,1.19557366085575e-30,95.5400022275189
"6","chr2_8339140","AT2G19210",11.2093821497493,1.65441013128389e-26,1.2068921907716e-23,11.2176398725687
"7","chr5_21202465","AT5G52190",-9.86209871533689,2.6749044525173e-21,1.67257954123832e-18,-137.428619105035
"8","chr1_10821300","AT1G30550",-9.80560696150438,4.32386564565297e-21,2.36569499137788e-18,-39.3317760129013
"9","chr5_17969461","AT5G44572",9.78070560017564,5.34001739609024e-21,2.59702846029856e-18,341.316629509722
"10","chr2_14226432","AT2G33590",-9.58594568900747,2.74728474194674e-20,1.20248653155009e-17,-219.212658341362
"11","chr3_9538350","AT3G26100",9.38133823467799,1.49746415675444e-19,5.95854601283106e-17,229.089964220781
"12","chr2_18284462","AT2G44220",-8.68653549019446,3.89156278837875e-17,1.41944752706115e-14,-18.6237241720527
"13","chr1_1552265","AT1G05310",8.57385713580236,9.30716494105205e-17,3.13365084207576e-14,24.2412595296487
"14","chr3_11251300","AT3G29310",-8.50779303752466,1.54571228816676e-16,4.83255906093278e-14,-70.401919541792
"15","chr1_7021183","AT1G20270",-8.40493304797009,3.38530069124128e-16,9.87830741704206e-14,-37.6889877533348
"16","chr2_13819755","AT2G32550",8.00818262493963,6.5058033557338e-15,1.77974383050293e-12,55.1576958898019
"17","chr4_17995294","AT4G38460",7.96767010159196,8.74382793171512e-15,2.25127852100689e-12,212.033832991357
"18","chr5_4380496","AT5G13600",7.75340305441153,4.09639189223183e-14,9.96105961794374e-12,2.12551121771527
"19","chr5_6267049","AT5G18800",7.6125999566887,1.11012911944097e-13,2.55738692410165e-11,90.6488342309356
"20","chr4_4196466","AT4G07390",7.59181722419696,1.28455838281499e-13,2.81125602079061e-11,74.6299003232962
"21","chr3_93258","AT3G01300",7.55999251158251,1.60525702015109e-13,3.34581427485777e-11,34.300831671339
"22","chr1_139124","AT1G01355",-7.45187689191486,3.40384250687108e-13,6.77209938753396e-11,-7.05181001815179
"23","chr5_364578","AT5G01940",-7.36346772268502,6.25361123170689e-13,1.19008940700787e-10,-11.6446610162683
"24","chr5_19639409","AT5G48460",-7.26765414352773,1.20112209122836e-12,2.19054641387772e-10,-187.839766445746
"25","chr2_654392","AT2G02470",7.25421870636742,1.31552281482518e-12,2.30321734419592e-10,91.1907954567073
"26","chr2_13417418","AT2G31510",7.21757153924111,1.68490188460671e-12,2.83646751881675e-10,91.2017581734419
"27","chr4_10611752","AT4G19460",-7.1348382431565,2.93500041501705e-12,4.75796178389987e-10,-20.9231648734989
"28","chr5_25597106","AT5G63950",-7.10300087804467,3.62885185896796e-12,5.48122512901137e-10,-46.2895639059707
